name,k,draft_class,pick,rookie_season,debut_lag,g,mpg,y_pts,y_reb,y_ast,y_stl,y_blk,y_tov,y_fg3m,y_fgm,y_fga,y_ftm,y_fta
Ayo Dosunmu,ayo dosunmu,2021,38.0,2022,0,77,27.4025974025974,8.818181818181818,2.779220779220779,3.324675324675325,0.7792207792207793,0.37662337662337664,1.4025974025974026,0.9090909090909091,3.6103896103896105,6.9480519480519485,0.6883116883116883,1.0129870129870129
Ajay Mitchell,ajay mitchell,2024,38.0,2025,0,37,16.62162162162162,6.45945945945946,1.8918918918918919,1.7837837837837838,0.6756756756756757,0.10810810810810811,0.7837837837837838,0.6216216216216216,2.4864864864864864,5.108108108108108,0.8648648648648649,1.054054054054054
Kam Jones,kam jones,2025,38.0,2026,0,37,16.64864864864865,4.378378378378378,1.6216216216216217,3.2162162162162162,0.4864864864864865,0.0,0.972972972972973,0.5945945945945946,1.837837837837838,4.5675675675675675,0.10810810810810811,0.21621621621621623
Kennedy Chandler,kennedy chandler,2022,38.0,2023,0,36,7.888888888888889,2.1666666666666665,1.0555555555555556,1.6111111111111112,0.3333333333333333,0.1388888888888889,0.5,0.05555555555555555,0.9722222222222222,2.3055555555555554,0.16666666666666666,0.3611111111111111
Jordan Walsh,jordan walsh,2023,38.0,2024,0,9,9.222222222222221,1.6666666666666667,2.2222222222222223,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.6666666666666666,1.6666666666666667,0.1111111111111111,0.2222222222222222
Landry Fields,landry fields,2010,39.0,2011,0,82,30.975609756097562,9.71951219512195,6.353658536585366,1.8902439024390243,0.975609756097561,0.2073170731707317,1.3048780487804879,1.048780487804878,3.6463414634146343,7.341463414634147,1.3780487804878048,1.7926829268292683
Jeff Withey,jeff withey,2013,39.0,2014,0,57,12.035087719298245,3.3333333333333335,2.6315789473684212,0.45614035087719296,0.2631578947368421,0.8771929824561403,0.3508771929824561,0.0,1.2105263157894737,2.263157894736842,0.9122807017543859,1.280701754385965
Khris Middleton,khris middleton,2012,39.0,2013,0,27,17.666666666666668,6.111111111111111,1.8518518518518519,1.037037037037037,0.5555555555555556,0.14814814814814814,0.4074074074074074,0.5185185185185185,2.2962962962962963,5.222222222222222,1.0,1.1851851851851851
Jerami Grant,jerami grant,2014,39.0,2015,0,65,21.23076923076923,6.323076923076923,3.046153846153846,1.2153846153846153,0.6153846153846154,1.0461538461538462,1.3076923076923077,0.7538461538461538,1.9076923076923078,5.415384615384616,1.7538461538461538,2.9692307692307693
Jawun Evans,jawun evans,2017,39.0,2018,0,48,16.208333333333332,4.8125,1.75,2.0833333333333335,0.75,0.125,0.9166666666666666,0.3125,1.8541666666666667,5.270833333333333,0.7916666666666666,1.0208333333333333
Elijah Hughes,elijah hughes,2020,39.0,2021,0,18,3.611111111111111,1.7222222222222223,0.5,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.4444444444444444,0.5555555555555556,1.6666666666666667,0.16666666666666666,0.2222222222222222
Neemias Queta,neemias queta,2021,39.0,2022,0,14,8.642857142857142,3.2142857142857144,2.2142857142857144,0.42857142857142855,0.07142857142857142,0.5714285714285714,0.42857142857142855,0.0,1.2142857142857142,2.7142857142857144,0.7857142857142857,1.2142857142857142
Alijah Martin,alijah martin,2025,39.0,2026,0,23,6.304347826086956,2.217391304347826,0.9130434782608695,0.5217391304347826,0.34782608695652173,0.17391304347826086,0.34782608695652173,0.17391304347826086,0.6956521739130435,2.1739130434782608,0.6521739130434783,0.8260869565217391
Mouhamed Gueye,mouhamed gueye,2023,39.0,2024,0,6,12.166666666666666,4.0,3.6666666666666665,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.5,1.3333333333333333,3.8333333333333335,0.8333333333333334,1.0
Jaylen Wells,jaylen wells,2024,39.0,2025,0,79,25.88607594936709,10.417721518987342,3.392405063291139,1.7088607594936709,0.5569620253164557,0.10126582278481013,0.8734177215189873,1.7468354430379747,3.632911392405063,8.556962025316455,1.4050632911392404,1.7088607594936709
Jon Leuer,jon leuer,2011,40.0,2012,0,46,12.152173913043478,4.739130434782608,2.608695652173913,0.5434782608695652,0.30434782608695654,0.3695652173913043,0.391304347826087,0.06521739130434782,2.108695652173913,4.1521739130434785,0.45652173913043476,0.6086956521739131
Lance Stephenson,lance stephenson,2010,40.0,2011,0,12,9.416666666666666,3.0833333333333335,1.5,1.75,0.3333333333333333,0.0,1.3333333333333333,0.0,1.0833333333333333,3.25,0.9166666666666666,1.1666666666666667
Will Barton,will barton,2012,40.0,2013,0,72,12.277777777777779,4.069444444444445,1.9722222222222223,0.8055555555555556,0.4722222222222222,0.125,0.8055555555555556,0.125,1.625,4.263888888888889,0.6944444444444444,0.9027777777777778
Josh Richardson,josh richardson,2015,40.0,2016,0,52,21.25,6.5576923076923075,2.0576923076923075,1.4038461538461537,0.6923076923076923,0.4807692307692308,0.6730769230769231,1.0192307692307692,2.3653846153846154,5.230769230769231,0.8076923076923077,1.2115384615384615
Grant Jerrett,grant jerrett,2013,40.0,2015,1,7,7.428571428571429,2.2857142857142856,1.2857142857142858,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.14285714285714285,1.0,3.7142857142857144,0.14285714285714285,0.14285714285714285
Glenn Robinson III,glenn robinson,2014,40.0,2015,0,35,7.542857142857143,2.085714285714286,1.1142857142857143,0.3142857142857143,0.17142857142857143,0.02857142857142857,0.3142857142857143,0.14285714285714285,0.7428571428571429,1.9142857142857144,0.45714285714285713,0.6857142857142857
Justin James,justin james,2019,40.0,2020,0,30,7.8,2.966666666666667,1.0666666666666667,0.6,0.2,0.3,0.23333333333333334,0.3,1.1666666666666667,2.8,0.3333333333333333,0.7
Diamond Stone,diamond stone,2016,40.0,2017,0,7,3.5714285714285716,1.4285714285714286,0.8571428571428571,0.0,0.0,0.14285714285714285,0.2857142857142857,0.0,0.42857142857142855,1.8571428571428572,0.5714285714285714,0.5714285714285714
Dwayne Bacon,dwayne bacon,2017,40.0,2018,0,53,13.415094339622641,3.30188679245283,2.339622641509434,0.7169811320754716,0.3018867924528302,0.03773584905660377,0.4339622641509434,0.20754716981132076,1.3584905660377358,3.6226415094339623,0.37735849056603776,0.4716981132075472
Jared Butler,jared butler,2021,40.0,2022,0,42,8.571428571428571,3.8333333333333335,1.0714285714285714,1.5,0.40476190476190477,0.19047619047619047,0.7857142857142857,0.6666666666666666,1.4523809523809523,3.5952380952380953,0.2619047619047619,0.38095238095238093
Robert Woodard II,robert woodard,2020,40.0,2021,0,13,3.5384615384615383,1.5384615384615385,1.2307692307692308,0.15384615384615385,0.0,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.6153846153846154,1.5384615384615385,0.23076923076923078,0.6153846153846154
Oso Ighodaro,oso ighodaro,2024,40.0,2025,0,60,17.366666666666667,4.25,3.7,1.1833333333333333,0.4666666666666667,0.48333333333333334,0.65,0.0,1.8833333333333333,3.1166666666666667,0.48333333333333334,0.8333333333333334
Micah Peavy,micah peavy,2025,40.0,2026,0,61,14.967213114754099,4.295081967213115,1.9180327868852458,1.0,0.7049180327868853,0.14754098360655737,0.32786885245901637,0.45901639344262296,1.7377049180327868,4.508196721311475,0.36065573770491804,0.47540983606557374
