team,player,tier,injury,override_games,override_mpg
ORL,Tristan Da Silva,rotation,none,65.0,23.0
ORL,Wendell Carter Jr.,starter,none,68.0,25.0
PHI,Adem Bona,rotation,none,,18.0
PHI,Anfernee Simons,rotation,none,,23.0
PHI,Ariel Hukporti,reserve,none,,13.0
PHI,Caleb Love,reserve,none,,8.0
PHI,Dean Wade,rotation,none,,22.0
PHI,Dominick Barlow,rotation,none,,20.0
PHI,Duke Miles,fringe,none,,0.0
PHI,Jabari Walker,reserve,none,,10.0
PHI,Jaylen Brown,starter,none,,34.0
PHI,Joel Embiid,starter,none,49.0,30.0
PHI,Justin Edwards,reserve,none,,13.0
PHI,Kentavious Caldwell-Pope,reserve,none,,
PHI,Labaron Philon Jr.,rotation,none,,15.0
PHI,LeBron James,starter,none,62.0,31.0
PHI,MarJon Beauchamp,cut,none,,
PHI,Rayan Rupert,fringe,none,,0.0
PHI,Tyrese Martin,cut,none,,
PHI,Tyrese Maxey,starter,none,,35.0
PHI,VJ Edgecombe,starter,none,,33.0
PHO,C.J. Huntley,fringe,none,9.0,2.1
PHO,Collin Gillespie,rotation,none,60.0,28.0
PHO,Corey Camper Jr.,cut,none,,
PHO,Devin Booker,starter,none,72.0,33.0
PHO,Dillon Brooks,starter,none,65.0,29.5
PHO,EJ Liddell,fringe,none,,0.0
PHO,Haywood Highsmith,fringe,none,0.0,0.0
PHO,Isaiah Livers,cut,none,,
PHO,Jalen Green,starter,none,65.0,30.0
PHO,Jamaree Bouyea,reserve,none,22.0,10.0
PHO,Jordan Goodwin,rotation,none,70.0,20.0
PHO,Khaman Maluach,reserve,none,60.0,16.0
PHO,Koa Peat,reserve,none,45.0,15.0
PHO,Koby Brea,fringe,none,9.0,1.9
PHO,Luke Kennard,rotation,none,65.0,19.0
PHO,Mark Williams,starter,none,55.0,24.0
PHO,Miles Bridges,starter,none,71.0,30.0
PHO,Oso Ighodaro,rotation,none,70.0,19.0
PHO,Pat Spencer,reserve,none,45.0,10.0
PHO,Rasheer Fleming,rotation,none,55.0,17.0
PHO,Ryan Dunn,rotation,none,67.0,18.0
PHO,Sam Hoiberg,cut,none,,
POR,Barry Dunning Jr.,cut,none,,
